vorname,anzahl,geschlecht
Kira,7,w
Konrad,7,m
Liliana,7,w
Lion,7,m
Lola,7,w
Madita,7,w
Marlena,7,w
Mathis,7,m
Matthias,7,m
Mattis,7,m
Mehmet,7,m
Milo,7,m
Mohammad,7,m
Niclas,7,m
Niko,7,m
Nikolaos,7,m
Omar,7,m
Talia,7,w
Valentino,7,m
William,7,m
Youssef,7,m
Agnes,6,w
Alan,6,m
Alexa,6,w
Amalia,6,w
Amanda,6,w
Amelia,6,w
Amina,6,w
Anisa,6,w
Anja,6,w
Anne,6,w
Anni,6,w
Ariana,6,w
Ariane,6,w
Diana,6,w
Emely,6,w
Emilian,6,m
Emirhan,6,m
Eymen,6,m
Franka,6,w
Georgios,6,m
Helen,6,w
Ibrahim,6,m
Ines,6,w
Jule,6,w
Kian,6,m
Laurenz,6,m
Laurin,6,m
Leah,6,w
Ledion,6,m
Lennox,6,m
Leona,6,w
Lily,6,w
Luana,6,w
Lucie,6,w
Magnus,6,m
Malina,6,w
Malte,6,m
Mariella,6,w
Marina,6,w
Maryam,6,w
Mathilde,6,w
Nikita,6,m
Ömer,6,m
Roman,6,m
Santiago,6,m
Sofija,6,w
Tamara,6,w
Thomas,6,m
Younes,6,m
Adem,5,m
Alva,5,w
Annabell,5,w
Armin,5,m
Batuhan,5,m
Cataleya,5,w
Celina,5,w
Cleo,5,w
Cornelius,5,m
Dalia,5,w
Dario,5,m
Diar,5,m
Dila,5,w
Dilara,5,w
Eda,5,w
Elly,5,w
Emanuel,5,m
Eric,5,m
Esma,5,w
Felicia,5,w
Filipa,5,w
Frederic,5,m
Friederike,5,w
Friedrich,5,m
Heidi,5,w
Helin,5,w
Henrik,5,m
Jack,5,m
James,5,m
Jannes,5,m
Jannik,5,m
Jannis,5,m
Jayden,5,m
Jeremy,5,m
John,5,m
Joseph,5,m
Juliana,5,w
Kaspar,5,m
Kerem,5,m
Kiara,5,w
Koray,5,m
Leonora,5,w
Letizia,5,w
Levent,5,m
Lian,5,m
Lilia,5,w
Lilian,5,w
Lovis,5,m
Lucy,5,w
Luke,5,m
Marisa,5,w
Merle,5,w
Mohammed,5,m
Muhammad,5,m
Muhammed,5,m
Nathaniel,5,m
Neo,5,m
Raffael,5,m
Sam,5,m
Samira,5,w
Sarina,5,w
Selim,5,m
Selina,5,w
Tabea,5,w
Tasnim,5,w
Tiago,5,m
Timon,5,m
Verena,5,w
Vinzenz,5,m
Vitus,5,m
Yasmin,5,w
Zoey,5,w
Aaliyah,4,w
Adriana,4,w
Adriano,4,m
Aiden,4,m
Aleksandra,4,w
Alessio,4,m
Alexia,4,w
Aleyna,4,w
Anastasija,4,w
Andrej,4,m
Angelo,4,m
Annie,4,w
Arda,4,m
Arianna,4,w
Augustin,4,m
Aurel,4,m
Ayla,4,w
Bahar,4,w
Bela,4,m
Bianca,4,w
Can,4,m
Carolin,4,w
Caroline,4,w
Caspar,4,m
Cem,4,m
Cinar,4,m
Coco,4,w
Cristiano,4,m
Daniela,4,w
Daris,4,m
Defne,4,w
Ecrin,4,w
Ege,4,m
Eleonora,4,w
Eliah,4,m
Elijah,4,m
Elliot,4,m
Eloise,4,w
Ema,4,w
Emin,4,m
Endrit,4,m
Enya,4,w
Estelle,4,w
Francesco,4,m
Gabriela,4,w
Hussein,4,m
Ilayda,4,w
Ilyas,4,m
Ina,4,w
Iris,4,w
Isabell,4,w
Isra,4,w
Ivana,4,w
Ivy,4,w
Jona,4,m
Josefina,4,w
Judith,4,w
Juli,4,w
Julien,4,m
Julina,4,w
Juna,4,w
Karolina,4,w
Katja,4,w
Kenan,4,m
Kerim,4,m
Kimberly,4,w
Konstantina,4,w
Laeticia,4,w
Laetitia,4,w
Laila,4,w
Laurence,4,m
Leana,4,w
Lenny,4,m
Leoni,4,w
Liah,4,w
Liana,4,w
Lias,4,m
Lilou,4,w
Liya,4,w
Loris,4,m
Louise,4,w
Malin,4,w
Matej,4,m
Maxima,4,w
Mayla,4,w
Miguel,4,m
Miray,4,w
Musab,4,m
Nathalie,4,w
Nefeli,4,w
Nelly,4,w
Neven,4,m
Nicholas,4,m
Nikolai,4,m
Nikolina,4,w
Noa,4,m
Noa,4,w
Ophelia,4,w
Pablo,4,m
Pascal,4,m
Patricia,4,w
Rami,4,m
Raphaela,4,w
Ricardo,4,m
Ruben,4,m
Said,4,m
Santino,4,m
Simay,4,w
Sinan,4,m
Stefanos,4,m
Taha,4,m
Tamina,4,w
Tarik,4,m
Tea,4,w
Tessa,4,w
Thea,4,w
Umut,4,m
Vera,4,w
Viola,4,w
Yannick,4,m
Yunus,4,m
Zahra,4,w
Zümra,4,w
Abdurrahman,3,m
Abigail,3,w
Adele,3,w
Adrien,3,m
Ahmet,3,m
Aida,3,w
Aileen,3,w
Alara,3,w
Alban,3,m
Alejandro,3,m
Aleksandar,3,m
Aliyah,3,w
Amra,3,w
Andrea,3,w
Angela,3,w
Anna-Lena,3,w
Anna-Maria,3,w
Annabel,3,w
Annalena,3,w
Annelie,3,w
Annemarie,3,w
Ari,3,m
Arina,3,w
Arman,3,m
Armando,3,m
Asya,3,w
Athanasios,3,m
Ayda,3,w
Ayse,3,w
Balthasar,3,m
Baris,3,m
Belinay,3,w
Benedict,3,m
Berkay,3,m
Camilla,3,w
Casper,3,m
Charlize,3,w
Charlotta,3,w
Christos,3,m
Dani,3,m
Dania,3,w
Danilo,3,m
Darian,3,m
Dawid,3,m
Dimitrios,3,m
Din,3,m
Dino,3,m
Dion,3,m
Domenico,3,m
Domenik,3,m
Dominic,3,m
Dunja,3,w
Eduard,3,m
Efe,3,m
Eliana,3,w
Elizabeth,3,w
Ellen,3,w
Elvis,3,m
Emina,3,w
Emmy,3,w
Emre,3,m
Enno,3,m
Eray,3,m
Erdem,3,m
Erika,3,w
Ermin,3,m
Erva,3,w
Fatima,3,w
Fatma,3,w
Felina,3,w
Florence,3,w
Frederick,3,m
Freya,3,w
Gia,3,m
Gloria,3,w
Grace,3,w
Gregor,3,m
Ha,3,w
Hamza,3,m
Hassan,3,m
Henriette,3,w
Hiba,3,w
Hira,3,w
Holly,3,w
Iman,3,w
Iva,3,w
Jakub,3,m
Janis,3,m
Janne,3,w
Jasmina,3,w
Javier,3,m
Jean,3,m
Jim,3,m
Johan,3,m
Joleen,3,w
Jon,3,m
Jonna,3,w
Joris,3,m
Josephina,3,w
Jules,3,m
Junis,3,m
Kai,3,m
Kaja,3,w
Karina,3,w
Kevin,3,m
Kim,3,w
Klaudia,3,w
Lamar,3,w
Lasse,3,m
Lauri,3,m
Lavand,3,m
Lenia,3,w
Leonas,3,m
Leonidas,3,m
Leonis,3,m
Lewin,3,m
Linnea,3,w
Lino,3,m
Lioba,3,w
Lisbeth,3,w
Lorenzo,3,m
Lovisa,3,w
Luan,3,m
Luk,3,m
Luzia,3,w
Mads,3,m
Mahir,3,m
Maia,3,w
Maksim,3,m
Malak,3,w
Malea,3,w
Malou,3,w
Maren,3,w
Marie-Sophie,3,w
Mario,3,m
Marius,3,m
Mateusz,3,m
Matheo,3,m
Mathias,3,m
Matti,3,m
Maurice,3,m
Medin,3,m
Melek,3,w
Melvin,3,m
Merlin,3,m
Merve,3,w
Mick,3,m
Mika,3,w
Mike,3,m
Mirac,3,m
Miran,3,m
Miro,3,m
Miya,3,w
Nala,3,w
Nayla,3,w
Nazli,3,w
Nea,3,w
Nela,3,w
Nelia,3,w
Nelson,3,m
Nepomuk,3,m
Ngoc,3,w
Nicola,3,w
Nikolaus,3,m
Nino,3,m
Olaf,3,m
Panagiotis,3,m
Paolo,3,m
Pedro,3,m
Penelope,3,w
Petar,3,m
Piet,3,m
Prince,3,m
Rabia,3,w
Rasmus,3,m
Raul,3,m
Ray,3,m
Rayan,3,m
Rebekka,3,w
Ria,3,w
Riccardo,3,m
Rose,3,w
Ruby,3,w
Rüya,3,w
Sahar,3,w
Salih,3,m
Salim,3,m
Samir,3,m
Samson,3,m
Sascha,3,m
Saya,3,w
Sean,3,m
Semih,3,m
Sena,3,w
Shirin,3,w
Sienna,3,w
Sinem,3,w
Sofie,3,w
Soraya,3,w
Stefano,3,m
Tenzin,3,m
Teodor,3,m
Teodora,3,w
Teoman,3,m
Tilda,3,w
Tilo,3,m
Titus,3,m
Tyler,3,m
Umar,3,m
Vladimir,3,m
Willy,3,m
Xenia,3,w
Yahya,3,m
Yuna,3,w
Zehra,3,w
Zita,3,w
Abdul,2,m
Acelya,2,w
Adela,2,w
Adin,2,m
Aditya,2,m
Adrijana,2,w
Agnesa,2,w
Ajdin,2,m
Albert,2,m
Alem,2,m
Alena,2,w
Alent,2,m
Alexis,2,m
Alexis,2,w
Alisia,2,w
Allegra,2,w
Alyssa,2,w
Amadea,2,w
Aman,2,m
Amila,2,w
Amilia,2,w
Ana-Maria,2,w
Andre,2,m
Anduena,2,w
Anesa,2,w
Angel,2,w
Anian,2,m
Annabella,2,w
Antoine,2,m
Antonios,2,m
Antonius,2,m
Anuuk,2,w
Ariadne,2,w
Arin,2,m
Arjen,2,m
Arjeta,2,w
Arnau,2,m
Arne,2,m
Artin,2,m
Artur,2,m
Arwin,2,m
Aryan,2,m
Aslan,2,m
Asmin,2,w
Audrey,2,w
Aurela,2,w
Aurelie,2,w
Aurora,2,w
Avaptisto,2,m
Avaptisto,2,w
Ayaan,2,m
Ayana,2,w
Ayat,2,w
Ayham,2,m
Ayliz,2,w
Aymen,2,m
Aymeric,2,m
Ayoub,2,m
Aziz,2,m
Azra,2,w
Bella,2,w
Berna,2,w
Blanca,2,w
Boas,2,m
Boris,2,m
Bradley,2,m
Burhan,2,m
Camillo,2,m
Canan,2,w
Cansu,2,w
Cara,2,w
Carina,2,w
Carmine,2,m
Cassandra,2,w
Catharina,2,w
Catherine,2,w
Cecile,2,w
Celine,2,w
Ceyda,2,w
Charles,2,m
Charlie,2,w
Chloe,2,w
Cihan,2,m
Cillian,2,m
Corbinian,2,m
Corinna,2,w
Cristian,2,m
Cristina,2,w
Dana,2,w
Daniil,2,m
Danin,2,m
Daphne,2,w
Daria,2,w
Darijo,2,m
Darius,2,m
Davide,2,m
Davin,2,m
Dea,2,w
Delina,2,w
Demir,2,m
Dennis,2,m
Deon,2,m
Derin,2,w
Devin,2,m
Diellon,2,m
Dilana,2,w
Diya,2,w
Djordje,2,m
Don,2,m
Dora,2,w
Dorian,2,m
Dunya,2,w
Edith,2,w
Edmond,2,m
Egemen,2,m
Elaina,2,w
Elija,2,m
Eline,2,w
Elinor,2,w
Elio,2,m
Elisabetta,2,w
Eliza,2,w
Ellena,2,w
Elli,2,w
Ellie,2,w
Elma,2,w
Elmedina,2,w
Elyas,2,m
Eman,2,m
Emeli,2,w
Emilija,2,w
Emmanuel,2,m
Enna,2,w
Ennio,2,m
Enrico,2,m
Erdi,2,m
Erion,2,m
Erisa,2,w
Esila,2,w
Ethan,2,m
Evan,2,m
Evangelia,2,w
Evelyn,2,w
Evin,2,w
Fabienne,2,w
Fadi,2,m
Fanny,2,w
Fatimata,2,w
Federico,2,m
Felia,2,w
Felipe,2,m
Felizia,2,w
Fernando,2,m
Feyza,2,w
Filippo,2,m
Florent,2,m
Florentin,2,m
Florentina,2,w
Floriane,2,w
Floris,2,m
Franca,2,w
Francesca,2,w
Frido,2,m
Furkan,2,m
Fynn,2,m
Gamze,2,w
George,2,m
Giada,2,w
Giorgia,2,w
Giorgio,2,m
Giovanni,2,m
Grete,2,w
Guillaume,2,m
Hacer,2,w
Hadya,2,w
Hafsa,2,w
Hagen,2,m
Halima,2,w
Hamid,2,m
Hanan,2,w
Hanin,2,w
Hans,2,m
Harry,2,m
Hasan,2,m
Havin,2,w
Hawin,2,w
Hena,2,w
Henny,2,w
Hilda,2,w
Hubert,2,m
Husna,2,w
Ilana,2,w
Ilian,2,m
Ipek,2,w
Irene,2,w
Irmela,2,w
Ivo,2,m
Jad,2,m
Jamain,2,m
Jamie,2,m
Jamil,2,m
Janna,2,w
Janne,2,m
Janos,2,m
Jari,2,m
Jaron,2,m
Jeanne,2,w
Jennifer,2,w
Jenny,2,w
Jeremias,2,m
Jesko,2,m
Jesper,2,m
Jesse,2,m
Jessica,2,w
Jill,2,w
Johanna,2,m
Jolie,2,w
Jolien,2,w
Jonatan,2,m
Josefin,2,w
Juan,2,m
Jula,2,w
Juliane,2,w
Juri,2,m
Kacper,2,m
Kaito,2,m
Karam,2,m
Karin,2,w
Karlotta,2,w
Kasimir,2,m
Katarina,2,w
Katelyn,2,w
Kayla,2,w
Keira,2,w
Kelvin,2,m
Kenza,2,w
Konstantinos,2,m
Kristof,2,m
Kurt,2,m
Kuzey,2,m
Kyrill,2,m
Lambert,2,m
Laure,2,w
Laurens,2,m
Laurent,2,m
Lauro,2,m
Lavinia,2,w
Layla,2,w
Lazar,2,m
Lea-Marie,2,w
Leandro,2,m
Leart,2,m
Ledeyna,2,w
Len,2,m
Lenn,2,m
Lenz,2,m
Leticia,2,w
Lieselotte,2,w
Lil,2,w
Lili,2,w
Lilith,2,w
Lillian,2,w
Linn,2,w
Lisa-Marie,2,w
Loresa,2,w
Lorian,2,m
Lorik,2,m
Lorin,2,m
Lucian,2,m
Luciana,2,w
Luciano,2,m
Luiz,2,m
Lunis,2,m
Luzie,2,w
Lysander,2,m
Maciej,2,m
Madeleine,2,w
Mael,2,m
Maira,2,w
Maksymilian,2,m
Malena,2,w
Malika,2,w
Manha,2,w
Manolis,2,m
Mansour,2,m
Marcella,2,w
Margarete,2,w
Margarita,2,w
Maria-Eleni,2,w
Marianne,2,w
Marija,2,w
Marilena,2,w
Marin,2,m
Marinela,2,w
Maris,2,m
Marissa,2,w
Marlies,2,w
Martina,2,w
Martyna,2,w
Marvin,2,m
Marwa,2,w
Maryem,2,w
Matija,2,m
Matilde,2,w
Mattia,2,m
Maxence,2,m
Maxime,2,m
Maxime,2,w
Mayar,2,w
Mayra,2,w
Medine,2,w
Melanie,2,w
Melia,2,w
Melih,2,m
Mia-Sophie,2,w
Mihail,2,m
Mihailo,2,m
Mihrimah,2,w
Milian,2,m
Milina,2,w
Milutin,2,m
Mine,2,w
Minh,2,m
Minou,2,w
Mirjam,2,w
Muhammet,2,m
Munir,2,m
Muriel,2,w
Nadia,2,w
Nahla,2,w
Najla,2,w
Naomi,2,w
Nashbir,2,m
Natali,2,w
Nathanael,2,m
Neel,2,m
Nemanja,2,m
Neva,2,w
Neyla,2,w
Nia,2,w
Nicolai,2,m
Nikoleta,2,w
Nil,2,w
Nila,2,w
Nivin,2,w
Noam,2,m
Noemie,2,w
Norah,2,w
Nour,2,w
Nova,2,w
Odette-Graciella,2,w
Omid,2,m
Onno,2,m
Orlando,2,m
Paola,2,w
Patrice,2,m
Patrizia,2,w
Patryk,2,m
Petra,2,w
Pheline,2,w
Philippe,2,m
Phillip,2,m
Philomena,2,w
Pino,2,m
Poyraz,2,m
Quentin,2,m
Quinn,2,m
Rabin,2,m
Rahel,2,w
Rahela,2,w
Ramon,2,m
Rania,2,w
Rebar,2,m
Redon,2,m
Reem,2,w
Renwar,2,m
Reyansh,2,m
Reyyan,2,w
Rina,2,w
Roland,2,m
Romaisa,2,w
Romeo,2,m
Rona,2,w
Rosemarie,2,w
Rosmarie,2,w
Rozalina,2,w
Rumeysa,2,w
Runa,2,w
Sabina,2,w
Safa,2,m
Safiya,2,w
Sam,2,w
Samantha,2,w
Samiah,2,w
Sandra,2,w
Sandro,2,m
Sanna,2,w
Saphia,2,w
Saruar,2,m
Selena,2,w
Seray,2,w
Sercan,2,m
Serdar,2,m
Serena,2,w
Sergio,2,m
Serina,2,w
Seyma,2,w
Shanaya,2,w
Siena,2,w
Sila,2,w
Silas,2,m
Sima,2,w
Simone,2,w
Sirin,2,w
Sophia-Marie,2,w
Soraja,2,w
Stefania,2,w
Stefanie,2,w
Stevan,2,m
Suela,2,w
Susan,2,w
Takeru,2,m
Talha,2,m
Tamino,2,m
Tarek,2,m
Tassilo,2,m
Taylan,2,m
Theophile,2,m
Therese,2,w
Thorben,2,m
Tijana,2,w
Till,2,m
Tizian,2,m
Toni,2,w
Una,2,w
Utku,2,m
Valeria,2,w
Vanesa,2,w
Veit,2,m
Vihaan,2,m
Viktorija,2,w
Vince,2,m
Vincenzo,2,m
Vinzent,2,m
Vlera,2,w
Wael,2,m
Willi,2,m
Wilma,2,w
Yann,2,m
Yannik,2,m
Yannis,2,m
Yasemin,2,w
Yaser,2,m
Yassine,2,m
Yigit,2,m
Yunes,2,m
Zaya,2,w
Zerya,2,w
Zuzanna,2,w
Aadhya,1,w
Aahel,1,m
Aaliya,1,w
Aaradhya,1,w
Aayati,1,w
Aayush,1,m
Abaas,1,m
Ababel,1,w
Abdellah,1,m
Abderahmane,1,m
Abdigani,1,m
Abdiwahab,1,m
Abdoul-Karim,1,m
Abdoulaye,1,m
Abdoullah,1,m
Abdourahman,1,m
Abdul-Gafur,1,m
Abdulaziz,1,m
Abdulhakim,1,m
Abdulhamid,1,m
Abdull,1,m
Abdulrahman,1,m
Abdurrahim,1,m
Abed,1,m
Abedin,1,m
Abeera,1,w
Aboudou,1,m
Abrar,1,w
Abubeker,1,m
Acun,1,m
Adam-Dzenan,1,m
Adam-Mohamed,1,m
Adama,1,w
Adanna,1,w
Adel,1,m
Adelaide,1,w
Adelheid,1,w
Adelia,1,w
Adelina,1,w
Adian,1,m
Adiba,1,w
Adilon,1,m
Adina,1,w
Adna,1,w
Adonis,1,m
Adriatik,1,m
Adrina,1,w
Adris,1,m
Advik,1,m
Aela,1,w
Aeneas,1,m
Agamjit,1,m
Agasthya,1,m
Aggelos,1,m
Agilos,1,m
Agon,1,m
Ahaan,1,m
Ahlam,1,w
Ahmad,1,m
Ahmad-Milad,1,m
Ahmad-Subhan,1,m
Ahmet-Yusuf,1,m
Aidel,1,m
Aili,1,w
Aiman,1,m
Aino,1,w
Ainoa,1,w
Aisa,1,w
Aischa,1,w
Aise,1,w
Aisha,1,w
Aishat,1,w
Aivi,1,w
Aize,1,w
Ajan,1,m
Ajla,1,w
Ajna,1,w
Akari,1,w
Akay,1,m
Akin,1,m
Akira,1,m
Akram,1,m
Akshaya,1,w
Akshika,1,w
Alain,1,m
Alaine,1,w
Alanna,1,w
Albatrit,1,m
Alberto,1,m
Albesa,1,w
Albijon,1,m
Albin,1,m
Albion,1,m
Albrecht,1,m
Alec,1,m
Aleeah,1,w
Aleeza,1,w
Alejna,1,w
Aleksa,1,m
Aleksander,1,m
Aleksej,1,m
Alen,1,m
Alend,1,m
Alesia,1,w
Alessa,1,w
Alexander-David,1,m
Alexandre,1,m
Alexandrine,1,w
Alexandro,1,m
Alexandru,1,m
Aleysa,1,w
Alfons,1,m
Alhasan,1,m
Alia,1,w
Aliaa,1,w
Aliana,1,w
Alicja,1,w
Alienor,1,w
Alioune,1,m
Alissia,1,w
Alix,1,w
Aliya,1,w
Aliye,1,w
Alizee,1,w
Alketa,1,w
Allan,1,m
Almina,1,w
Almir,1,m
Alois,1,m
Alon,1,m
Alp,1,m
Alpay,1,m
Altay,1,m
Alvansyo,1,m
Alvertos,1,m
Alvin,1,m
Alvyn,1,m
Alyandra,1,w
Alyna,1,w
Alyosha,1,m
Alysha,1,w
Amadeus,1,m
Amalia-Aleksandra,1,w
Amand,1,m
Amanuel,1,m
Amar,1,w
Amarachi,1,w
Amato,1,m
Amatullah,1,w
Amber,1,w
Ameena,1,w
Ameer,1,m
Amel,1,m
Amel,1,w
Amela,1,w
Amelie,1,m
Amelie-Fabienne,1,w
Amelie-Madeleine,1,w
Amelina,1,w
Amelly,1,w
Amer,1,m
Ameya,1,w
Aminah,1,w
Ammar,1,m
Amna,1,w
Amogh,1,m
Amos,1,m
Amran,1,w
Amrei,1,w
Amro,1,m
Amy,1,w
An,1,w
Anabella,1,w
Anabelle,1,w
Anahi,1,w
Anais,1,w
Anamaria,1,w
Anand,1,m
Ananya,1,w
Anas,1,m
Anastacia,1,w
Anastassia,1,w
Anastazija,1,w
Anatol,1,m
Anca,1,w
Ance,1,w
Ancelo,1,m
Andia,1,w
Andon,1,m
Andra,1,w
Andreas-Christian,1,m
Andrei,1,m
Andreos,1,m
Andrew,1,m
Andria,1,m
Andrija,1,m
Andrin,1,m
Anea,1,w
Anela,1,w
Anelia,1,w
Angel,1,m
Angelic,1,w
Angelika,1,w
Angeliki,1,w
Angelos,1,m
Anglika,1,w
Anh,1,m
Anhar,1,w
Anhiluun,1,w
Ani,1,w
Ania,1,w
Anida,1,w
Anik,1,m
Anik,1,w
Anike,1,w
Anil,1,m
Anina,1,w
Anirudh,1,m
Anis,1,w
Anita,1,w
Anjel,1,m
Anjela,1,w
Anjeli,1,w
Ann-Sophie,1,w
Anna-Lara,1,w
Anna-Laura,1,w
Anna-Lina,1,w
Anna-Louisa,1,w
Anna-Luise,1,w
Anna-Malou,1,w
Anna-Sofia,1,w
Annais-Maria,1,w
Annalaura,1,w
Annalotta,1,w
Annamaria,1,w
Annanya,1,w
Anneka,1,w
Anneke,1,w
Annelene,1,w
Annelise,1,w
Annik,1,w
Annmarie,1,w
Ante,1,m
Anthoney,1,m
Anthony,1,m
Anto,1,m
Antoine,1,w
Antong,1,m
Antonin,1,m
Antonio-Joel,1,m
Antony,1,m
Anu,1,w
Anujan,1,m
Anush,1,m
Anvi,1,w
Anvitha,1,w
Apollonia,1,w
Apostolia,1,w
Apsara,1,w
Ar,1,m
Aram,1,m
Aran,1,m
Aras-Deniz,1,m
